vehicleid,overSpeed,gps_lost_count,telematics_off_count,normal_braking,harsh_braking,emergency_braking,idle_ratio,number_of_claims,total_claims_cost,bad_driver,average_distance_per_stop,average_number_of_stops_per_day,braking
90293012,7631,897,0,75757,13091,733,0.002020517744,1,191059.42,True,0.263415211,792.8045977,harsh
169895882,1716,679,0,34406,2996,51,0.0668571276,1,410518.74,True,1350.439866,12.04597701,harsh
176529442,1950,2508,0,29337,2744,44,0.02536964981,1,68445.13,True,122.9258914,28.57777778,harsh
158810447,5921,3560,0,55106,8328,121,0.0504917001,1,39071.7,True,3100.860656,11.22222222,harsh
105372035,1259,3362,0,30572,1637,27,0.1001364934,1,113520.1,True,435.0564496,15.52222222,harsh
172589045,2431,6250,0,49148,5258,44,0.04752984389,1,24140.68,True,1302.941014,9.662921348,harsh
155505293,1566,9060,0,52788,3075,16,0.0506988314,1,7153.0,True,233.9620482,22.74157303,harsh
96544022,2980,4555,0,70072,8108,110,0.02910972027,1,88860.17,True,-62734.55876,10.32222222,harsh
96215479,2251,4886,0,44199,4824,74,0.01932908324,2,56622.41,True,661.4728558,13.75609756,harsh
167487412,597,517,1,36334,3081,13,0.0502181191,0,0.0,False,108.1171454,29.66666667,harsh
169912702,1867,4855,1,45549,3359,56,0.05236500286,0,0.0,False,142.2572283,30.41111111,harsh
125047398,1236,1323,1,38365,5584,49,0.04022910132,0,0.0,False,987.4735463,9.566666667,harsh
176495073,1116,744,1,37751,10111,33,0.03104708216,0,0.0,False,856.29868,12.43333333,harsh
160731302,1238,8561,1,58109,3875,76,0.05667096358,0,0.0,False,264.4579828,25.26666667,harsh
160968349,1108,510,1,38672,8698,69,0.02190181075,0,0.0,False,1115.773771,13.25,harsh
126619021,472,1111,1,22464,2558,9,0.02173305102,0,0.0,False,471.541832,12.20481928,harsh
140415270,4663,2753,1,53774,6570,41,0.03288896249,0,0.0,False,1263.604401,13.75555556,harsh
159137814,1834,1132,1,35912,2663,13,0.02588887737,0,0.0,False,606.3701651,16.28089888,harsh
155517428,0,1,1,10,0,0,0.4,2,238443.42,True,0.0,1.0,normal
92624443,8076,15888,1,74310,7619,85,0.04177335577,6,389723.07,True,6441.295492,7.044444444,harsh
156857762,3045,4031,2,63684,6522,30,0.01685745202,0,0.0,False,1105.112634,12.24444444,harsh
219532871,29,588,2,4460,43,2,0.002885682575,0,0.0,False,212.350463,13.04054054,harsh
160731443,3182,1502,2,29174,3309,39,0.09682676342,0,0.0,False,947.6180956,12.25609756,harsh
176358659,3483,10688,2,51854,5717,52,0.04140707704,0,0.0,False,701.4538315,14.35555556,harsh
80548695,291,155,2,12472,1008,28,0.02835356826,1,110310.2,True,367.8435019,16.05063291,harsh
165492524,0,0,2,4,0,0,0.0,1,39667.72,True,0.0,2.0,normal
139424766,890,3065,3,33283,3433,61,0.05272316937,0,0.0,False,217.1000948,26.2125,harsh
158690131,593,1637,3,41039,3047,19,0.01979367419,0,0.0,False,222.9322095,26.50684932,harsh
89151608,1256,125,3,26163,2794,67,0.03014746417,0,0.0,False,287.1246419,21.2972973,harsh
115994042,2707,1189,3,46029,6619,81,0.0438278746,0,0.0,False,732.6811446,16.51111111,harsh
129073905,0,3,3,151,4,0,0.0,1,66024.73,True,4344.0,1.25,harsh
104804470,2360,5146,3,49203,2658,37,0.08050406567,2,206623.44,True,1299.644505,10.69767442,harsh
122196196,1599,673,3,47153,7030,79,0.03512587078,2,43290.43,True,491.6845721,16.54651163,harsh
87055861,5067,5126,3,98406,18174,468,0.007458478573,3,209466.98,True,236.6868686,32.23333333,harsh
173649460,705,556,4,25231,2473,21,0.07069431921,0,0.0,False,809.3642772,8.611111111,harsh
171820093,2730,742,4,52428,6930,36,0.03333670068,0,0.0,False,994.2398572,16.0,harsh
133833237,2445,604,4,29882,3271,54,0.0976601319,2,195425.68,True,1445.370185,11.18888889,harsh
176493415,5806,1989,6,50888,8656,163,0.03123586849,0,0.0,False,682.3218322,19.23333333,harsh
174926741,4699,499,6,41965,7084,25,0.0807352162,0,0.0,False,2079.316501,10.63333333,harsh
150986252,6903,1644,6,62237,12106,94,0.03856952859,2,75401.81,True,3521.709077,10.38888889,harsh
160730802,932,921,8,46508,4144,94,0.1017420092,0,0.0,False,335.3452872,23.98888889,harsh
111082600,1015,1462,8,35828,3592,44,0.04647273464,3,76122.98,True,973.9046351,11.82758621,harsh
137549957,2966,1408,9,29540,3298,91,0.0888274773,0,0.0,False,3572.380879,6.206896552,harsh
146463179,2089,495,11,20144,3059,28,0.02970169171,2,113933.36,True,1136.561129,11.4084507,harsh
139599033,0,0,15,30,0,0,0.0,0,0.0,False,0.0,4.285714286,normal
160731831,700,1051,16,48791,3066,45,0.07745366267,0,0.0,False,396.7767415,21.36666667,harsh
160724777,3167,1013,26,41379,3584,55,0.1370340753,0,0.0,False,2154.255189,10.95505618,harsh
165046524,580,55,85,6669,453,7,0.01571047833,0,0.0,False,3533.931795,1.444444444,harsh
